Year_Birth,Education,Marital_Status,Income,Dt_Customer,Last_Purchase,Wines,Fruits,Meat,Fish,Sweet,Gold,Deal_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Web_Visits,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Customer_From,Total_Spending,Luxury_Spending,Necessity_Spending,Need_Attention,Luxury_Consumer,CLV
1951,0,0,0.35,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,72,3576,444,369,75,1,1,0.12416107382550336
1969,0,1,0.15,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,54,3651,75,19,56,1,0,0.020542317173377157
1976,0,0,0.46,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,47,3506,257,214,43,0,1,0.0733029092983457
1986,0,1,0.45,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,1,37,3602,637,367,270,0,1,0.17684619655746808
1989,0,0,0.33,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,34,3502,131,46,85,0,0,0.03740719588806397
1965,1,0,0.74,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,58,3327,1672,684,988,1,0,0.5025548542230237
1989,1,1,0.08,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,34,3146,30,12,18,1,0,0.009535918626827717
1963,1,0,0.33,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,60,3522,318,201,117,1,1,0.09028960817717206
1970,0,0,0.35,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,53,3735,120,113,7,1,1,0.0321285140562249
1952,1,1,0.4,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,2,71,3716,302,139,163,0,0,0.08127018299246501
1946,1,0,0.6,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,77,3602,1196,504,692,0,0,0.3320377568017768
1951,1,1,0.43,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,2,72,3412,65,43,22,1,1,0.019050410316529893
1970,1,0,0.59,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,53,3288,913,737,176,1,1,0.277676399026764
1976,1,0,0.2,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,47,3408,81,42,39,1,1,0.023767605633802816
1973,0,1,0.36,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,50,3246,67,59,8,1,1,0.020640788662969808
1943,1,1,0.42,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,80,3621,902,479,423,1,1,0.24910245788456228
1980,0,0,0.7,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,43,3534,1395,523,872,0,0,0.39473684210526316
1985,1,0,0.17,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,38,3582,53,20,33,1,0,0.014796203238414294
1957,0,0,0.18,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,66,3660,22,12,10,0,1,0.006010928961748634
1959,1,1,0.45,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0,64,3344,186,120,66,1,1,0.05562200956937799
1975,1,0,0.05,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,48,3378,31,15,16,0,0,0.009177027827116636
1976,0,1,0.7,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,47,3109,984,297,687,1,0,0.31650048247024765
1996,1,0,0.05,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,27,3705,122,53,69,0,0,0.03292847503373819
1968,0,0,0.36,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,55,3509,55,26,29,1,0,0.01567398119122257
1951,0,1,0.45,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,3,72,3287,124,55,69,1,0,0.03772436872528141
1954,1,0,0.63,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,2,69,3706,1319,864,455,1,1,0.35590933621154885
1957,0,1,0.57,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,66,3156,507,259,248,0,1,0.16064638783269963
1964,1,0,0.69,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,59,3795,1693,682,1011,0,0,0.4461133069828722
1977,0,1,0.3,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,46,3651,72,15,57,1,0,0.01972062448644207
1977,0,1,0.72,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,46,3130,1617,751,866,1,0,0.5166134185303515
1978,0,0,0.58,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,45,3490,606,437,169,1,1,0.17363896848137536
1955,1,0,0.72,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,68,3695,1957,1174,783,1,1,0.5296346414073072
1966,0,1,0.61,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,57,3561,1093,335,758,1,0,0.30693625386127493
1988,0,1,0.23,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,35,3170,29,18,11,1,1,0.00914826498422713
1982,0,1,0.45,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,1,41,3485,46,17,29,1,0,0.013199426111908177
1968,1,0,0.48,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,55,3226,518,490,28,1,1,0.1605703657780533
1982,1,1,0.66,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,41,3468,1438,792,646,0,1,0.4146482122260669
1975,0,0,0.58,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,48,3768,612,458,154,0,1,0.1624203821656051
1952,0,1,0.54,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,71,3604,884,692,192,0,1,0.24528301886792453
1951,1,1,0.59,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,72,3491,606,552,54,0,1,0.1735892294471498
1948,0,0,0.62,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,75,3313,1076,428,648,0,0,0.32478116510715366
1971,0,0,0.21,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,52,3512,34,16,18,1,0,0.00968109339407745
1967,0,0,0.27,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,56,3157,11,10,1,0,1,0.003484320557491289
1979,1,1,0.77,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,44,3210,1274,726,548,0,1,0.39688473520249223
1958,0,0,0.6,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,65,3383,653,356,297,0,1,0.19302394324563996
1970,0,0,0.65,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,3,53,3555,1562,929,633,1,1,0.43938115330520394
1954,1,0,0.58,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,69,3764,1253,508,745,0,0,0.3328905419766206
1973,1,0,0.45,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,1,50,3761,109,42,67,0,0,0.028981653815474608
1959,0,0,0.57,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,1,64,3577,863,344,519,0,0,0.2412636287391669
1975,1,0,0.53,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,2,48,3558,661,584,77,1,1,0.18577852726250701
1952,0,0,0.24,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,71,3168,65,23,42,1,0,0.020517676767676768
1977,0,1,0.34,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,46,3665,13,3,10,1,0,0.0035470668485675307
1972,1,0,0.66,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,51,3779,1890,739,1151,1,0,0.5001323101349563
1976,0,1,0.66,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,47,3733,2209,1083,1126,1,0,0.5917492633270828
1976,1,0,0.22,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,47,3406,18,10,8,0,1,0.005284791544333529
1965,0,0,0.48,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,58,3651,692,628,64,0,1,0.18953711311969323
1985,0,1,0.25,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,38,3777,165,81,84,1,0,0.043685464654487687
1969,0,0,0.22,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,1,54,3479,16,8,8,0,0,0.004599022707674619
1973,1,0,0.19,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,50,3469,79,48,31,1,1,0.022773133467858173
1963,1,0,0.33,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,60,3522,318,201,117,1,1,0.09028960817717206
1987,0,1,0.71,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,36,3232,778,239,539,0,0,0.2407178217821782
1960,0,0,0.25,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2,63,3430,56,20,36,1,0,0.0163265306122449
1970,1,0,0.31,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,2,53,3456,151,135,16,1,1,0.04369212962962963
1957,0,1,0.43,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,66,3140,372,326,46,0,1,0.11847133757961784
1973,0,0,0.7,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0,50,3156,1366,495,871,1,0,0.4328263624841572
1967,0,0,0.47,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,56,3267,194,142,52,1,1,0.05938169574533211
1957,1,0,0.45,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,3,66,3695,603,283,320,0,0,0.1631935047361299
1957,0,1,0.45,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,66,3141,18,8,10,1,0,0.0057306590257879654
1973,1,0,0.45,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,0,50,3326,985,463,522,1,0,0.29615153337342154
1972,1,1,0.36,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,51,3206,32,19,13,1,1,0.009981285090455396
1970,1,0,0.2,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,53,3144,43,27,16,1,1,0.013676844783715014
1983,0,0,0.25,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,1,40,3146,45,14,31,1,0,0.014303877940241577
1960,0,1,0.41,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,63,3692,606,580,26,1,1,0.16413867822318526
1972,0,1,0.45,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,2,51,3552,63,53,10,1,1,0.017736486486486486
1951,1,0,0.69,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,72,3318,978,430,548,1,0,0.29475587703435807
1983,1,0,0.43,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,40,3482,410,146,264,1,0,0.11774842044801838
1960,1,1,0.41,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,63,3449,72,63,9,0,1,0.02087561612061467
1959,1,1,0.29,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,1,64,3199,55,46,9,1,1,0.017192872772741483
1979,0,0,0.75,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1,44,3543,1169,497,672,1,0,0.3299463731301157
1945,1,0,0.57,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,78,3516,1120,643,477,1,1,0.3185437997724687
1959,0,0,0.76,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,64,3160,1097,255,842,1,0,0.34715189873417723
1979,0,0,0.2,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,44,3309,29,10,19,1,0,0.008763977032336053
1964,0,0,0.42,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2,59,3386,187,151,36,0,1,0.05522740696987596
1969,0,0,0.45,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,54,3620,910,360,550,1,0,0.2513812154696133
1978,0,1,0.33,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,45,3665,145,103,42,0,1,0.03956343792633015
1960,1,0,0.78,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,63,3677,850,497,353,0,1,0.23116671199347294
1979,0,0,0.67,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,1,44,3347,969,504,465,1,1,0.28951299671347475
1991,1,1,0.59,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0,32,3704,1820,1418,402,1,1,0.49136069114470843
1963,1,0,0.5,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,60,3112,608,587,21,0,1,0.1953727506426735
1991,0,1,0.75,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0,32,3651,730,512,218,1,1,0.19994522048753766
1980,1,0,0.38,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,1,43,3672,551,450,101,0,1,0.15005446623093682
1962,0,1,0.44,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2,61,3400,114,91,23,0,1,0.033529411764705884
1970,0,0,0.79,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,0,53,3264,1724,580,1144,0,0,0.5281862745098039
1978,1,0,0.31,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,45,3603,577,167,410,1,0,0.1601443241742992
1967,1,0,0.26,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,2,56,3461,81,42,39,1,1,0.023403640566310314
1969,0,0,0.18,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,1,54,3335,33,4,29,1,0,0.009895052473763119
1953,1,0,0.49,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,1,70,3482,660,368,292,1,1,0.18954623779437105
1967,1,1,0.28,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,1,56,3233,80,44,36,0,1,0.024744819053510673
1985,1,0,0.16,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,2,38,3406,30,16,14,1,1,0.008807985907222548
1976,0,1,0.26,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,1,47,3541,43,19,24,1,0,0.012143462298785653
1983,0,1,0.89,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0,40,3582,1135,890,245,1,1,0.31686208821887213
1965,1,0,0.62,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,58,3604,559,334,225,1,1,0.1551054384017758
1984,0,1,0.7,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0,39,3542,1923,666,1257,1,0,0.5429136081309994
1953,1,0,0.47,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,2,70,3129,90,74,16,1,1,0.028763183125599234
1961,1,0,0.45,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,1,62,3461,404,367,37,0,1,0.11672926899739959
1956,1,0,0.68,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,2,67,3158,661,504,157,1,1,0.20930968967701077
1952,0,0,0.55,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,1,71,3380,463,178,285,0,0,0.13698224852071006
1958,1,1,0.53,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,2,65,3584,632,575,57,1,1,0.17633928571428573
1969,0,0,0.64,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0,54,3247,725,366,359,0,1,0.2232830304896828
1963,0,0,0.45,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,1,60,3430,725,355,370,1,0,0.21137026239067055
1964,1,0,0.36,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,2,59,3427,279,243,36,1,1,0.08141231397723957
1967,1,0,0.55,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0,56,3577,1482,796,686,0,1,0.41431367067374897
1976,0,1,0.07,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1,47,3798,29,9,20,1,0,0.007635597682991048
1959,1,0,0.29,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,3,64,3465,106,69,37,1,1,0.030591630591630593
1973,1,1,0.3,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,2,50,3149,49,35,14,1,1,0.015560495395363607
1965,1,1,0.31,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,2,58,3444,38,21,17,1,1,0.011033681765389082
1992,1,1,0.81,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0,31,3726,2077,982,1095,1,0,0.557434245840043
1976,1,0,0.57,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1,47,3335,1053,788,265,0,1,0.3157421289355322
1962,0,0,0.75,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0,61,3544,1385,525,860,1,0,0.39080135440180586
1974,1,1,0.59,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,1,49,3413,871,647,224,1,1,0.2552007031936713
1988,0,0,0.36,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,1,35,3575,312,148,164,0,0,0.08727272727272728
1976,0,0,0.52,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,2,47,3727,877,647,230,1,1,0.23530990072444324
1975,0,0,0.2,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,1,48,3717,68,18,50,1,0,0.018294323379069142
1981,0,0,0.33,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,1,42,3413,22,10,12,1,0,0.006445941986522121
1973,1,0,0.3,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,3,50,3784,211,105,106,1,0,0.05576109936575053
1966,1,0,0.43,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0,57,3116,127,50,77,1,0,0.040757381258023105
1953,1,0,0.51,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,2,70,3174,459,308,151,1,1,0.1446124763705104
1969,0,0,0.57,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,1,54,3222,460,359,101,1,1,0.14276846679081315
1972,1,0,0.4,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,1,51,3670,429,324,105,0,1,0.11689373297002725
1988,0,1,0.29,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1,35,3156,89,25,64,0,0,0.028200253485424587
1952,1,0,0.53,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1,71,3736,1021,964,57,1,1,0.27328693790149894
1949,0,0,0.6,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,0,74,3603,1381,1039,342,0,1,0.3832917013599778
1958,0,1,0.43,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,1,65,3464,306,215,91,0,1,0.08833718244803695
1978,0,1,0.52,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,3,45,3398,18,8,10,1,0,0.00529723366686286
1977,0,0,0.48,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,1,46,3363,162,56,106,0,0,0.04817127564674398
1955,0,1,0.7,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,0,68,3421,1231,593,638,1,0,0.35983630517392573
1958,1,1,0.26,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,3,65,3471,13,10,3,0,1,0.003745318352059925
1945,1,0,0.61,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,0,78,3709,1706,1382,324,0,1,0.4599622539768132
1984,0,0,0.19,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,1,39,3283,121,58,63,1,0,0.03685653365823942
1975,1,1,0.65,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,0,48,3532,1293,1013,280,0,1,0.36608154020385053
